iter	Passed	Remaining
0	158	158283
1	161	80756
2	165	54968
3	168	41869
4	170	33958
5	172	28651
6	176	25062
7	179	22229
8	181	19985
9	183	18177
10	185	16679
11	187	15405
12	188	14331
13	190	13420
14	192	12614
15	193	11896
16	194	11264
17	196	10702
18	197	10200
19	198	9748
20	200	9339
21	201	8968
22	203	8636
23	204	8330
24	206	8046
25	207	7781
26	209	7534
27	210	7308
28	211	7096
29	213	6898
30	214	6713
31	216	6548
32	218	6389
33	219	6239
34	220	6093
35	222	5954
36	223	5824
37	225	5700
38	226	5582
39	227	5470
40	229	5363
41	230	5263
42	232	5166
43	233	5077
44	235	4989
45	236	4904
46	237	4822
47	239	4745
48	240	4677
49	243	4617
50	244	4553
51	246	4490
52	247	4430
53	249	4373
54	251	4316
55	252	4261
56	254	4208
57	256	4158
58	257	4112
59	259	4072
60	261	4025
61	263	3979
62	264	3933
63	265	3888
64	267	3844
65	268	3801
66	269	3759
67	270	3710
68	272	3671
69	273	3634
70	274	3598
71	276	3563
72	277	3528
73	279	3494
74	280	3460
75	281	3427
76	283	3395
77	284	3364
78	286	3341
79	287	3311
80	289	3282
81	291	3258
82	292	3232
83	293	3205
84	294	3173
85	296	3148
86	297	3118
87	298	3095
88	300	3071
89	301	3049
90	302	3026
91	304	3003
92	306	2985
93	308	2969
94	310	2954
95	311	2933
96	313	2917
97	314	2898
98	316	2880
99	317	2861
100	319	2842
101	320	2819
102	321	2800
103	323	2782
104	324	2765
105	325	2747
106	327	2731
107	328	2714
108	330	2698
109	331	2681
110	332	2666
111	334	2652
112	335	2636
113	337	2621
114	338	2605
115	339	2588
116	341	2574
117	342	2561
118	343	2544
119	345	2530
120	346	2517
121	347	2503
122	348	2485
123	350	2472
124	351	2459
125	352	2446
126	354	2434
127	355	2419
128	356	2407
129	357	2395
130	359	2383
131	360	2372
132	362	2360
133	363	2349
134	365	2338
135	366	2327
136	367	2318
137	369	2306
138	370	2295
139	372	2285
140	373	2276
141	375	2269
142	377	2260
143	378	2250
144	380	2241
145	381	2231
146	383	2223
147	385	2217
148	386	2208
149	387	2198
150	389	2189
151	390	2179
152	392	2171
153	393	2162
154	395	2154
155	396	2146
156	398	2137
157	399	2128
158	400	2120
159	402	2111
160	403	2103
161	405	2095
162	406	2088
163	408	2080
164	409	2073
165	411	2065
166	412	2057
167	413	2049
168	415	2042
169	416	2034
170	418	2026
171	419	2019
172	421	2012
173	422	2004
174	423	1998
175	425	1991
176	426	1984
177	428	1977
178	429	1970
179	430	1963
180	431	1953
181	433	1946
182	434	1939
183	435	1932
184	437	1927
185	439	1923
186	441	1919
187	443	1915
188	444	1908
189	446	1903
190	447	1897
191	449	1891
192	451	1886
193	452	1881
194	454	1875
195	455	1869
196	457	1863
197	458	1857
198	459	1851
199	461	1845
200	462	1839
201	464	1834
202	466	1830
203	467	1825
204	469	1819
205	470	1814
206	472	1810
207	474	1805
208	475	1800
209	477	1795
